Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
SignIn,100,46,36,60,80,168,32,334,0.000%,1.90320,8.19,1.20
SubmitSignIn,100,90,71,124,155,420,63,428,0.000%,1.90705,9.63,3.21
ClickCategory,100,44,35,56,67,221,31,307,0.000%,1.90862,7.23,1.33
ChooseProduct,100,47,37,73,121,168,31,196,0.000%,1.90854,7.56,1.34
AddToCart,100,46,37,56,77,126,33,378,0.000%,1.90749,8.60,1.34
ProceedToCheckout,100,45,37,65,90,143,32,213,0.000%,1.90763,10.03,1.30
PaymentPage,100,49,38,73,109,173,33,343,0.000%,1.90763,8.45,2.45
OrderConfirm,100,41,38,46,57,80,33,225,0.000%,1.90803,9.75,1.32
SignOut,100,100,71,135,208,461,63,989,0.000%,1.90701,9.35,2.57
TOTAL,900,56,39,80,121,343,31,989,0.000%,17.00616,78.05,15.90
